No,Title,Author,Year,DOI
31,solvent vapor treatment improves mechanical strength of electrospun polyvinyl alcohol nanofibers,"[{'AfN': 'gadjah mada university', 'AuN': 'aditya rianjanu'}, {'AfN': 'gadjah mada university', 'AuN': 'ahmad kusumaatmaja'}, {'AfN': 'gadjah mada university', 'AuN': 'eko agus suyono'}, {'AfN': 'gadjah mada university', 'AuN': 'kuwat triyana'}]",2018,10.1016/j.heliyon.2018.e00592
32,work environment factors and their influence on urinary chromium levels in informal electroplating workers,"[{'AfN': 'diponegoro university', 'AuN': 'yuliani setyaningsih'}, {'AfN': 'gadjah mada university', 'AuN': 'adi heru husodo'}, {'AfN': 'gadjah mada university', 'AuN': 'indwiani astuti'}]",2018,10.1051/e3sconf/20183106007
33,diagnostic comparison of baermann funnel koga agar plate culture and polymerase chain reaction for detection of human strongyloides stercoralis infection in maluku indonesia,"[{'AfN': 'gadjah mada university', 'AuN': 'handriani kristanti'}, {'AfN': 'gadjah mada university', 'AuN': 'fransiska meyanti'}, {'AfN': 'gadjah mada university', 'AuN': 'mahardika agus wijayanti'}, {'AfN': 'gadjah mada university', 'AuN': 'yodi mahendradhata'}, {'AuN': 'katja polman'}, {'AfN': 'geneva college', 'AuN': 'francois chappuis'}, {'AfN': 'university of basel', 'AuN': 'jurg utzinger'}, {'AfN': 'swiss tropical and public health institute', 'AuN': 'jurg utzinger'}, {'AfN': 'university of basel', 'AuN': 'soren l becker'}, {'AfN': 'saarland university', 'AuN': 'soren l becker'}, {'AfN': 'swiss tropical and public health institute', 'AuN': 'soren l becker'}, {'AfN': 'gadjah mada university', 'AuN': 'e elsa herdiana murhandarwati'}]",2018,10.1007/s00436-018-6021-5
34,assessment of planetscope images for benthic habitat and seagrass species mapping in a complex optically shallow water environment,"[{'AfN': 'gadjah mada university', 'AuN': 'pramaditya wicaksono'}, {'AfN': 'gadjah mada university', 'AuN': 'wahyu lazuardi'}]",2018,10.1080/01431161.2018.1506951
35,evaluation of the implementation of single screening and treatment for the control of malaria in pregnancy in eastern indonesia a systems effectiveness analysis,"[{'AfN': 'university of london', 'AuN': 'jayne webster'}, {'AfN': 'hasanuddin university', 'AuN': 'ansariadi'}, {'AuN': 'faustina h burdam'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'chandra u r landuwulang'}, {'AfN': 'university of london', 'AuN': 'jane bruce'}, {'AfN': 'gadjah mada university', 'AuN': 'jeanne rini poespoprodjo'}, {'AfN': 'eijkman institute for molecular biology', 'AuN': 'din syafruddin'}, {'AfN': 'liverpool school of tropical medicine', 'AuN': 'rukhsana ahmed'}, {'AfN': 'liverpool school of tropical medicine', 'AuN': 'jenny hill'}]",2018,10.1186/s12936-018-2448-5
36,modeling data containing outliers using arima additive outlier arima ao,"[{'AuN': 'ansari saleh ahmar'}, {'AfN': 'gadjah mada university', 'AuN': 'suryo guritno'}, {'AfN': 'gadjah mada university', 'AuN': 'abdurakhman'}, {'AuN': 'abdul rahman'}, {'AuN': 'alimuddin'}, {'AuN': 'ilham minggi'}, {'AuN': 'm arif tiro'}, {'AuN': 'm kasim aidid'}, {'AuN': 'suwardi annas'}, {'AuN': 'dian utami sutiksno'}, {'AuN': 'dewi satria ahmar'}, {'AuN': 'kurniawan h ahmar'}, {'AuN': 'a abqary ahmar'}, {'AuN': 'ahmad zaki'}, {'AuN': 'dahlan abdullah'}, {'AfN': 'universiti malaysia perlis', 'AuN': 'robbi rahim'}, {'AuN': 'heri nurdiyanto'}, {'AuN': 'rahmat hidayat'}, {'AuN': 'darmawan napitupulu'}, {'AuN': 'janner simarmata'}, {'AfN': 'padjadjaran university', 'AuN': 'nuning kurniasih'}, {'AuN': 'leon andretti abdillah'}, {'AfN': 'universitas ahmad dahlan', 'AuN': 'andri pranolo'}, {'AfN': 'mulawarman university', 'AuN': 'haviluddin'}, {'AuN': 'wahyudin albra'}, {'AuN': 'a nurani m arifin'}]",2018,10.1088/1742-6596/954/1/012010
37,treponema denticola chymotrypsin like protease as associated with hpv negative oropharyngeal squamous cell carcinoma,"[{'AfN': 'university of helsinki', 'AuN': 'anna kaisa kylma'}, {'AfN': 'university of helsinki', 'AuN': 'lauri jouhi'}, {'AfN': 'university of helsinki', 'AuN': 'dyah listyarifah'}, {'AfN': 'gadjah mada university', 'AuN': 'dyah listyarifah'}, {'AfN': 'university of helsinki', 'AuN': 'hesham mohamed'}, {'AfN': 'karolinska institutet', 'AuN': 'antti makitie'}, {'AfN': 'university of helsinki', 'AuN': 'antti makitie'}, {'AfN': 'university of helsinki', 'AuN': 'satu remes'}, {'AfN': 'university of helsinki', 'AuN': 'caj haglund'}, {'AfN': 'university of helsinki', 'AuN': 'timo atula'}, {'AfN': 'university of helsinki', 'AuN': 'mikko t nieminen'}, {'AfN': 'karolinska institutet', 'AuN': 'timo sorsa'}, {'AfN': 'university of helsinki', 'AuN': 'timo sorsa'}, {'AfN': 'university of helsinki', 'AuN': 'jaana hagstrom'}]",2018,10.1038/s41416-018-0143-5
38,tunable spin splitting and spin lifetime in polar wste monolayer,"[{'AfN': 'gadjah mada university', 'AuN': 'moh adhib ulil absor'}, {'AfN': 'kyoto university', 'AuN': 'hiroki kotaka'}, {'AfN': 'kanazawa university', 'AuN': 'fumiyuki ishii'}, {'AfN': 'kanazawa university', 'AuN': 'mineo saito'}]",2018,10.7567/JJAP.57.04FP01
39,high throughput screening system for dynamic monitoring of exocytotic vesicle trafficking in mast cells,"[{'AfN': 'ehime university', 'AuN': 'takeshi kiyoi'}, {'AfN': 'ehime university', 'AuN': 'shuang liu'}, {'AfN': 'gadjah mada university', 'AuN': 'muhammad novrizal abdi sahid'}, {'AfN': 'ehime university', 'AuN': 'masachika shudou'}, {'AfN': 'ehime university', 'AuN': 'kazutaka maeyama'}, {'AfN': 'ehime university', 'AuN': 'masaki mogi'}]",2018,10.1371/journal.pone.0198785
40,ecosystem services of traditional homegardens in south and southeast asia,"[{'AfN': 'university of tokyo', 'AuN': 'hideyuki mohri'}, {'AfN': 'office of environment and heritage', 'AuN': 'nicholas landreth'}, {'AfN': 'united nations university', 'AuN': 'shruti lahoti'}, {'AfN': 'university of tokyo', 'AuN': 'osamu saito'}, {'AfN': 'united nations university', 'AuN': 'osamu saito'}, {'AfN': 'university of peradeniya', 'AuN': 'gamini hitinayake'}, {'AfN': 'university of peradeniya', 'AuN': 'nimal gunatilleke'}, {'AfN': 'gadjah mada university', 'AuN': 'irham'}, {'AfN': 'vietnam national university ho chi minh city', 'AuN': 'hoang van thang'}, {'AfN': 'university of tokyo', 'AuN': 'kazuhiko takeuchi'}]",2018,10.1007/978-4-431-56597-0_6
